83.3115947,3.406296771
83.32265356,3.407215256
83.34253698,3.408865278
83.37122833,3.41124309
83.40869773,3.414342815
83.45490561,3.418156755
83.50980304,3.422675442
83.57333186,3.427887678
83.64542475,3.433780576
83.72600533,3.440339602
83.81498818,3.447548631
83.91227903,3.455389998
84.01777475,3.463844562
84.13136356,3.472891773
84.25292507,3.482509738
84.38233046,3.492675304
84.5194426,3.50336413
84.66411617,3.514550776
84.81619785,3.526208785
84.97552649,3.538310777
85.14193322,3.550828539
85.31524171,3.563733122
85.49526827,3.576994937
85.68182213,3.590583854
85.87470559,3.604469301
86.07371423,3.618620366
86.27863716,3.633005902
86.4892572,3.64759462
86.70535116,3.662355198
86.92669001,3.677256377
87.15303921,3.692267062
87.38415886,3.707356421
87.61980405,3.722493978
87.85972503,3.737649708
88.10366757,3.752794129
88.35137313,3.767898389
88.60257921,3.782934351
88.85701958,3.797874675
89.11442461,3.812692894
89.37452151,3.827363487
89.63703464,3.841861952
89.90168579,3.856164862
90.16819451,3.870249932
90.43627835,3.884096066
90.70565321,3.89768341
90.97603362,3.910993396
91.24713305,3.924008774
91.51866418,3.936713647
91.79033928,3.949093499
92.06187041,3.961135208
92.33296984,3.972827067
92.60335025,3.98415879
92.87272511,3.995121511
93.14080895,4.005707783
93.40731767,4.015911566
93.67196882,4.025728216
93.93448195,4.035154458
94.19457885,4.044188363
94.45198388,4.052829313
94.70642425,4.061077968
94.95763033,4.06893622
95.20533589,4.076407146
95.44927843,4.08349496
95.68919941,4.090204953
95.9248446,4.096543434
96.15596425,4.102517669
96.38231345,4.108135811
96.6036523,4.113406831
96.81974626,4.118340447
97.0303663,4.122947047
97.23528923,4.127237609
97.43429787,4.13122363
97.62718133,4.134917038
97.81373519,4.138330115
97.99376175,4.141475413
98.16707024,4.144365676
98.33347697,4.147013755
98.49280561,4.149432526
98.64488729,4.151634813
98.78956086,4.153633309
98.926673,4.155440496
99.05607839,4.157068573
99.1776399,4.158529381
99.29122871,4.159834334
99.39672443,4.160994353
99.49401528,4.162019799
99.58299813,4.162920417
99.66357871,4.163705277
99.7356716,4.164382723
99.79920042,4.164960324
99.85409785,4.165444835
99.90030573,4.16584215
99.93777513,4.166157281
99.96646648,4.166394317
99.9863499,4.166556415
99.99740876,4.166645802
