element_id,node0_id,node1_id,node2_id
0,2,18,20
1,16,19,18
2,9,20,19
3,18,19,20
4,4,21,23
5,7,22,21
6,3,23,22
7,21,22,23
8,6,24,26
9,12,25,24
10,13,26,25
11,24,25,26
12,6,27,29
13,1,28,27
14,8,29,28
15,27,28,29
16,2,30,18
17,10,31,30
18,16,18,31
19,30,31,18
20,17,32,34
21,11,33,32
22,0,34,33
23,32,33,34
24,9,19,36
25,16,35,19
26,1,36,35
27,19,35,36
28,14,37,39
29,4,38,37
30,5,39,38
31,37,38,39
32,7,40,22
33,12,41,40
34,3,22,41
35,40,41,22
36,0,42,43
37,6,26,42
38,13,43,26
39,42,26,43
40,8,44,46
41,16,45,44
42,3,46,45
43,44,45,46
44,8,46,47
45,3,41,46
46,12,47,41
47,46,41,47
48,4,37,21
49,14,48,37
50,7,21,48
51,37,48,21
52,15,49,50
53,13,25,49
54,12,50,25
55,49,25,50
56,8,47,29
57,12,24,47
58,6,29,24
59,47,24,29
60,12,40,50
61,7,51,40
62,15,50,51
63,40,51,50
64,5,52,39
65,11,53,52
66,14,39,53
67,52,53,39
68,11,32,55
69,17,54,32
70,15,55,54
71,32,54,55
72,7,48,51
73,14,56,48
74,15,51,56
75,48,56,51
76,11,55,53
77,15,56,55
78,14,53,56
79,55,56,53
80,3,45,57
81,16,31,45
82,10,57,31
83,45,31,57
84,1,35,28
85,16,44,35
86,8,28,44
87,35,44,28
88,0,43,34
89,13,58,43
90,17,34,58
91,43,58,34
92,15,54,49
93,17,58,54
94,13,49,58
95,54,58,49
