x,y,ux,uy
0,0,0,0
8,0,0,0
8,3,0.002274938511,-0.01075901356
5,3,-0.00158190512,-0.01302930787
3,5,-0.01418711569,-0.02724206045
0,5,-0.01366773891,-0.03468034574
4,0,0,0
3.329166667,3.329166667,-0.005848798587,-0.02249190066
6,0.75,0.001567765248,-0.004634466653
8,1.5,0.004309955011,-0.008270350885
6.5,3,0.001343511323,-0.0113234702
0,2.5,-0.01225323526,-0.02603562542
3.877525351,1.70749155,-1.344249261e-05,-0.01249162224
2,0.7146825518,-0.001617570697,-0.007095096997
1.5,3.836647963,-0.01078381006,-0.03049688861
2.065942396,2.326265177,-0.005673244971,-0.0210920788
6.761363636,1.761363636,0.00260180266,-0.009056992676
0.6810161926,1.25,-0.007302381376,-0.01432557351
7.380681818,2.380681818,0.002661762028,-0.01063596227
7.380681818,1.630681818,0.003461345055,-0.008741216934
8,2.25,0.003326758966,-0.009969211883
3.164583333,4.164583333,-0.01002039411,-0.02553968672
4.164583333,3.164583333,-0.003720733688,-0.01778279978
4,4,-0.008850014626,-0.0199310445
3.938762676,0.8537457748,0.0006525128669,-0.006726957169
2.938762676,1.211087051,-0.0009274496571,-0.01072808886
3,0.3573412759,-2.194632645e-05,-0.003310609101
6,0,0,0
7,0.375,0.001254054965,-0.002346656709
5,0.375,0.000732906477,-0.002668049912
7.25,3,0.002049149067,-0.01124013805
6.630681818,2.380681818,0.001973767164,-0.01059218915
0.3405080963,1.875,-0.01052701101,-0.02096899431
0,1.25,-0.01040128227,-0.01623179908
0.3405080963,0.625,-0.005459855147,-0.007952680933
7.380681818,0.8806818182,0.003117807541,-0.005404605785
8,0.75,0.004106925565,-0.00556928373
2.25,4.418323982,-0.01177741649,-0.02986567896
1.5,5,-0.01365135624,-0.03239041459
0.75,4.418323982,-0.01274414972,-0.03334021139
3.603346009,2.518329108,-0.002268679502,-0.01784790216
4.438762676,2.353745775,-0.0002720896527,-0.01392875222
2,0,0,0
1,0.3573412759,-0.001862022612,-0.0039074148
6.380681818,1.255681818,0.002251699028,-0.007059996582
5.880681818,2.380681818,0.001177114923,-0.01073646646
5.5,1.875,0.001467161388,-0.009821694219
4.938762676,1.228745775,0.001400846388,-0.007879772111
2.414583333,3.582907315,-0.008517218293,-0.02708806959
2.032971198,1.520473864,-0.003680451714,-0.01466197288
2.971733873,2.016878363,-0.002429082647,-0.01675548395
2.697554531,2.827715922,-0.005347280832,-0.02261293275
0,3.75,-0.01286881338,-0.03241587497
0.75,3.168323982,-0.0109449651,-0.02912260778
1.373479294,1.788132588,-0.006493545359,-0.01819110812
1.032971198,2.413132588,-0.009036451425,-0.02396557187
1.782971198,3.08145657,-0.008358177663,-0.02656570103
5.75,3,0.0001309646517,-0.01169345409
1.340508096,0.9823412759,-0.003988426734,-0.01039540647
7.690340909,2.690340909,0.002491529986,-0.01087908329
