8 3 -0.2132282634 -1.973805996 -1.973805996 -10.89943061
7.686715644 2.688399681 -0.0563153076 -1.844800285 -1.844800285 -10.68518017
7.376096945 2.377459052 0.07451058196 -1.745251883 -1.745251883 -10.51048974
7.067770683 2.068129806 0.1803623274 -1.673988869 -1.673988869 -10.37832435
6.761363636 1.761363636 0.2618295524 -1.630365154 -1.630365154 -10.29122757
7.995668512 2.62027753 -0.03443026792 -1.880910009 -1.880910009 -10.79175595
7.686454502 2.309872593 0.1012454898 -1.78222001 -1.78222001 -10.59132617
7.37901731 2.000886603 0.2112143985 -1.71281845 -1.71281845 -10.43437015
7.072983717 1.694271253 0.2964551871 -1.671907089 -1.671907089 -10.32266974
7.995475568 2.243220742 0.1402822188 -1.817929625 -1.817929625 -10.66191658
7.688969907 1.934685892 0.2549982881 -1.750374709 -1.750374709 -10.47870082
7.383352226 1.628329246 0.3447646389 -1.712168692 -1.712168692 -10.34085184
7.997544841 1.869553583 0.3121231207 -1.786801373 -1.786801373 -10.51094038
7.692385531 1.563563525 0.4071296486 -1.751350996 -1.751350996 -10.34538503
8 1.5 0.4840104385 -1.789657957 -1.789657957 -10.3357656
3 5 5.525478908 -0.7471502364 -0.7471502364 -5.954525408
3.057878183 4.581567947 4.99873267 -0.5124628901 -0.5124628901 -7.860443681
3.133699598 4.16305199 4.576629562 -0.324287432 -0.324287432 -9.476286553
3.224962882 3.745301704 4.229949698 -0.186721485 -0.186721485 -10.85996626
3.329166667 3.329166667 3.935913496 -0.1044934353 -0.1044934353 -12.05499059
3.473705887 4.49922578 4.445795352 -0.7021505401 -0.7021505401 -8.845907366
3.551113831 4.08003041 4.02898328 -0.5209882814 -0.5209882814 -10.43138724
3.643326189 3.661757722 3.685834317 -0.3896590984 -0.3896590984 -11.78614463
3.747841594 3.245257291 3.395083837 -0.3130446105 -0.3130446105 -12.95100228
3.968130501 3.997594328 3.532058671 -0.6915968353 -0.6915968353 -11.33791762
4.061229081 3.57903641 3.196697407 -0.5640570958 -0.5640570958 -12.65837721
4.165993256 3.162407759 2.913648486 -0.4906733415 -0.4906733415 -13.78750169
4.478489864 3.497165713 2.759486233 -0.7109024513 -0.7109024513 -13.48149038
4.583439957 3.080646014 2.487953874 -0.6386005555 -0.6386005555 -14.57001629
5 3 2.114884046 -0.7577474663 -0.7577474663 -15.30345275
4 0 -22.43530041 1.002991429 1.002991429 -56.58516885
3.977668337 0.4101642943 -19.81388127 1.431580081 1.431580081 -51.26234679
3.947567299 0.8323217663 -17.81852722 1.743861861 1.743861861 -47.1419948
3.913063949 1.265191242 -16.34305956 1.962631643 1.962631643 -44.02680248
3.877525351 1.70749155 -15.30573455 2.106278121 2.106278121 -41.76394286
