x,y,ux,uy
0,0,0,0
8,0,0,0
8,3,0.00249032468,-0.01093992968
5,3,-0.001412497062,-0.01321910552
3,5,-0.01319226299,-0.02705074642
0,5,-0.01290863751,-0.03397661215
4,0,0,0
3.329166667,3.329166667,-0.005448886639,-0.02215948369
6,0.75,0.001528812754,-0.004535793102
8,1.5,0.004036824792,-0.008388685089
6.5,3,0.001141031663,-0.01120667406
0,2.5,-0.01222016417,-0.02518068031
3.877525351,1.70749155,-2.960543026e-05,-0.01231097879
2,0.7146825518,-0.001402120082,-0.006792520703
1.5,3.836647963,-0.01025881727,-0.02978052204
2.065942396,2.326265177,-0.005555372564,-0.0204914399
6.761363636,1.761363636,0.002520330326,-0.008830729481
0.6810161926,1.25,-0.006571986756,-0.01376950669
7.380681818,2.380681818,0.002645632621,-0.01049598242
7.380681818,1.630681818,0.003320250965,-0.008572648647
8,2.25,0.003318279929,-0.01009054392
3.164583333,4.164583333,-0.009294040687,-0.02523807052
4.164583333,3.164583333,-0.003392280628,-0.01775625562
4,4,-0.008187366037,-0.01981665711
3.938762676,0.8537457748,0.000576022044,-0.006608580282
2.938762676,1.211087051,-0.0008670481461,-0.01044283028
3,0.3573412759,-5.752059349e-05,-0.003226930772
6,0,0,0
7,0.375,0.001054171934,-0.002280599931
5,0.375,0.0007065069698,-0.00260007475
7.25,3,0.002057872988,-0.01111972747
6.630681818,2.380681818,0.001931478509,-0.01039486181
0.3405080963,1.875,-0.01034866552,-0.02021316954
0,1.25,-0.00992561769,-0.01569620217
0.3405080963,0.625,-0.004618617811,-0.007533301545
7.380681818,0.8806818182,0.002858647234,-0.005211090768
8,0.75,0.003795058645,-0.005640622267
2.25,4.418323982,-0.01108991576,-0.02932166428
1.5,5,-0.01280714213,-0.03169900166
0.75,4.418323982,-0.0120395511,-0.03258152553
3.603346009,2.518329108,-0.002141660089,-0.01761646745
4.438762676,2.353745775,-0.0002043214262,-0.01389419911
2,0,0,0
1,0.3573412759,-0.001530638155,-0.003745043646
6.380681818,1.255681818,0.002189675131,-0.00689173566
5.880681818,2.380681818,0.001137617225,-0.01069677759
5.5,1.875,0.001448923018,-0.009798844769
4.938762676,1.228745775,0.001357152125,-0.007883506267
2.414583333,3.582907315,-0.008058173952,-0.02656862866
2.032971198,1.520473864,-0.003488713687,-0.01416645102
2.971733873,2.016878363,-0.002369826738,-0.0163814116
2.697554531,2.827715922,-0.005105068766,-0.022146321
0,3.75,-0.01230032878,-0.03157054741
0.75,3.168323982,-0.01063139839,-0.0283747944
1.373479294,1.788132588,-0.006252728426,-0.01760467301
1.032971198,2.413132588,-0.008908816252,-0.02330968648
1.782971198,3.08145657,-0.008087868151,-0.02592024091
5.75,3,-3.99294834e-05,-0.01173715853
1.340508096,0.9823412759,-0.003586843032,-0.01003888809
