x,y,ux,uy
0,0,0,0
8,0,0,0
8,3,0.002131942974,-0.01067254417
5,3,-0.00167620799,-0.0128929845
3,5,-0.01459327056,-0.0272167708
0,5,-0.01395602845,-0.03494400712
4,0,0,0
3.329166667,3.329166667,-0.00603582639,-0.02265775187
6,0.75,0.001556324505,-0.004665694187
8,1.5,0.004449547583,-0.008244398809
6.5,3,0.001474254427,-0.01141677079
0,2.5,-0.01232210722,-0.02642949869
3.877525351,1.70749155,-1.590682655e-06,-0.0125571428
2,0.7146825518,-0.001730425917,-0.00725900213
1.5,3.836647963,-0.01103837603,-0.030822538
2.065942396,2.326265177,-0.005732438723,-0.02135064287
6.761363636,1.761363636,0.002645735806,-0.009164683524
0.6810161926,1.25,-0.007618823583,-0.01458983998
7.380681818,2.380681818,0.002683117334,-0.0107364491
7.380681818,1.630681818,0.00351140571,-0.008847027415
8,2.25,0.003340929846,-0.009959624401
3.164583333,4.164583333,-0.01035569812,-0.02567680596
4.164583333,3.164583333,-0.003894591413,-0.01779792577
4,4,-0.009158740021,-0.01997233907
3.938762676,0.8537457748,0.0006818728322,-0.006773808415
2.938762676,1.211087051,-0.0009590337937,-0.01084157213
3,0.3573412759,-5.918141879e-06,-0.003335506206
6,0,0,0
7,0.375,0.001360796543,-0.002384670053
5,0.375,0.0007427938979,-0.002692941598
7.25,3,0.002047704454,-0.01133981698
6.630681818,2.380681818,0.001995712213,-0.010714697
0.3405080963,1.875,-0.01053365766,-0.0213081806
0,1.25,-0.01053592331,-0.01644919383
0.3405080963,0.625,-0.006086756394,-0.008266219091
7.380681818,0.8806818182,0.00324507489,-0.005506054225
8,0.75,0.00429032303,-0.005540623721
2.25,4.418323982,-0.01208267457,-0.03010511044
1.5,5,-0.01401413337,-0.0326896798
0.75,4.418323982,-0.01305368917,-0.03366901878
3.603346009,2.518329108,-0.002334403876,-0.01794257985
4.438762676,2.353745775,-0.000295403917,-0.01392987712
2,0,0,0
1,0.3573412759,-0.002087389257,-0.003975065672
6.380681818,1.255681818,0.00228413578,-0.007137920817
5.880681818,2.380681818,0.001205129371,-0.01076594599
5.5,1.875,0.001465583762,-0.009821462203
4.938762676,1.228745775,0.001409103341,-0.007862259212
2.414583333,3.582907315,-0.008734052156,-0.02731142493
2.032971198,1.520473864,-0.003772642185,-0.01488806089
2.971733873,2.016878363,-0.002468752554,-0.01691362845
2.697554531,2.827715922,-0.005468055583,-0.0228144974
0,3.75,-0.01312041583,-0.03278081308
0.75,3.168323982,-0.0111145964,-0.02945381427
1.373479294,1.788132588,-0.006580222358,-0.01845900393
1.032971198,2.413132588,-0.009103626574,-0.024246147
1.782971198,3.08145657,-0.00849701456,-0.02684341849
5.75,3,0.0002914117556,-0.01166301372
1.340508096,0.9823412759,-0.004187920636,-0.01059323306
7.690340909,2.690340909,0.002476669281,-0.01092134026
