x,y,weight
3.333333333333333148e-01,3.333333333333333148e-01,-5.625000000000000000e-01
5.999999999999999778e-01,2.000000000000000111e-01,5.208333333333333703e-01
2.000000000000000111e-01,5.999999999999999778e-01,5.208333333333333703e-01
2.000000000000000111e-01,2.000000000000000111e-01,5.208333333333333703e-01
